id,name,image,description,date,recommendation
15,THE DAVINCI CODE - BY DAN BROWN,https://danbrown.com/wp-content/uploads/2024/10/Dan-Brown_The-Da-Vinci-Code-book-cover_2024.jpg,"The Da Vinci Code follows '"symbologist'" Robert Langdon and cryptologist Sophie Neveu after a murder in the Louvre Museum in Paris causes them to become involved in a battle between the Priory of Sion and Opus Dei over the possibility of Jesus Christ and Mary Magdalene having had a child together.",2025-10-09,10
8,FOOLS DIE - BY MARIO PUZO,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1386922343i/22035.jpg,"The novel opens with one of recent fiction''s most captivating first chapters, introducing three '"degenerate gamblers'" in 1959 Las Vegas: casino informant Cully, intensely boyish Merlyn, and middle-aged runaway Jordan, who wins a fortune then immediately commits suicide. While Jordan''s ironic victory lingers as a haunting presence, the narrative settles on Merlyn, whose appeal diminishes proportionally to his rising success. Living in the Bronx with his family while pursuing writing through an Army Reserves job, Merlyn initially engages readers through his gambling binges and corrupt practices, culminating in his self-described status as '"the Tiffany''s of bribe-takers.'" His partnership with Cully to launder money provides some of the book''s strongest moments. However, once Merlyn achieves literary celebrity, the novel loses narrative drive and resorts to tired conventions - the composite hard-drinking writer figure spouting Hemingway-esque lines, Hollywood corruption tropes, and an affair with a stereotypical '"liberated'" bisexual actress. While Puzo clearly intends to examine significant themes about survival, artistic integrity, and relationships, the novel only truly achieves the '"magic'" of writing it celebrates during scenes of financial exchange and manipulation.",2025-08-03,8
10,THE FORTUNATE PILGRIM - BY MARIO PUZO,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1386923603i/22037.jpg,"Lucia Santa has traveled three thousand miles of dark ocean, from the mountain farms of Italy to the streets of New York, hoping for a better life. Instead, she finds herself in Hell''s Kitchen, in a bad marriage, raising six children on her own. As Lucia struggles to hold her family together, her daughter confronts the adult world of work and romance while her eldest son is drawn into the mafia. Meanwhile, her youngest son aspires to American pursuits she cannot understand.",2025-10-06,7
11,THE FAMILY - BY MARIO PUZO,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1386925700i/274942.jpg,"A novel set in a fifteenth-century Italy populated by corrupt popes and despotic families introduces the first of the mafia families--Rodrigo Borgia, Pope Alexander VI, and his children Jofre, Juan, Lucrezia, and Cesare.",2025-10-06,7
5,THE GODFATHER - BY MARIO PUZO,https://covers.openlibrary.org/b/olid/OL49817236M-M.jpg,"The Godfather is a crime novel by American author Mario Puzo. Originally published in 1969 by G. P. Putnam''s Sons, the novel details the story of a fictional Mafia family in New York City (and Long Beach, New York), headed by Vito Corleone. Puzo''s dedication for The Godfather is '"For Anthony Cleri'". The novel''s epigraph is by the French author Honoré de Balzac: '"Behind every great fortune there is a crime.'" The novel covers the years 1945 to 1955 and includes the back story of Vito Corleone from early childhood to adulthood.",2025-08-26,10
17,THE LAST DON - BY MARIO PUZO,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1436903416i/364089.jpg,"The last don is Domenico Clericuzio, a wise and ruthless man who is determined to see his heirs established in legitimate society but whose vision is threatened when secrets from the family''s past spark a vicious war between two blood cousins.

This is a mesmerizing tale that takes us inside the equally corrupt worlds of the mob, the movie industry, and the casinos - where beautiful actresses and ruthless hit men are ruled by lust and violence, where sleazy producers and greedy studio heads are drunk with power, where crooked cops and desperate gamblers play dangerous games of betrayal, and where one man controls them all.",2025-10-02,9
12,THE FOURTH K - BY MARIO PUZO,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1320455269i/22031.jpg,"President Francis Xavier Kennedy is elected to office, in large part, thanks to the legacy of his forebears– good looks, privilege, wealth–and is the very embodiment of youthful optimism. Too soon, however, he is beaten down by the political process and, disabused of his ideals, he becomes a leader totally unlike what he has been before.

When his daughter becomes a pawn in a brutal terrorist plot, Kennedy, who has obsessively kept alive the memory of his uncles’ assassinations, activates all his power to retaliate in a series of violent measures. As the explosive events unfold, the world and those closest to him look on with both awe and horror",2025-10-07,10
13,THE DARK ARENA - BY MARIO PUZO,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1386920773i/22027.jpg,"After coming home at the end of World War II, Walter Mosca finds himself too restless for his civilian role in America. So he returns to Germany to find the woman he had once loved–and to start some kind of life in a vanquished country. But ahead of Walter stretches a dark landscape of defeat and intrigue, as he succumbs to the corrupting influences of a malevolent time. Now he enters a different kind of war, one in which he must make a fateful decision–between love and ambition, passion and greed, life and death",2025-10-08,6
14,SIX GRAVES TO MUNICH - BY MARIO PUZO & MARIO CLERI,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1251130421i/6561385.jpg,"Michael Rogan was an intelligence officer behind enemy lines in World War II Europe. But he made the mistake of falling in love, which gave him something to lose-or to be taken from him.

Captured by the Nazis, Michael was treated as an experiment. A piece of meat. A subject upon which his captors committed atrocity upon atrocity. But not before they did the same to his wife-and unborn son. He''s lived with the horror of that experience for ten years.
Now, Michael Rogan has returned to Europe to find the men who tortured him. And he''s going to make sure that they never have to live with the horror as he did...
They will die with it.",2025-10-08,8
7,OMERTA - BY MARIO PUZO,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327867034i/22028.jpg,"To Don Raymonde Aprile''s children he was a loyal family member, their father''s adopted '"nephew.'" To the FBI he was a man who would rather ride his horses than do Mob business. No one knew why Aprile, the last great American Don, had adopted Astorre Viola many years before in Sicily; no one suspected how he had carefully trained him ... and how, while the Don''s children claimed respectable careers in America, Astorre Viola waited for his time to come.
